id,name,recorded_at,method_family,execution_backend,transport,model,reasoning_effort,stage_models,group,n,temperature,workers,max_semantic_attempts,max_http_attempts,legacy_max_retries,max_output_tokens,timeout_seconds,protocol,dataset_sha256,case_set_sha256,environment_counts,run_dir,status,eligible,run_kind,fresh_end_to_end,failed_outputs,csv_verified,step_exact,step_exact_denominator,step_module_exact,step_module_exact_denominator,all_correct,all_correct_denominator,semantic_parent,metrics_path,metrics_sha256,per_example_sha256
R125,luna-clean-debate-v2,2026-08-14T14:21:47+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-clean-debate-v2,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v2-case30,complete_scored,True,scored_run,True,0,True,8,30,2,30,1,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v2-case30/scored/metrics.json,e50e8bc0050a21efa7d7228d5548ebf41328e6217ca4e95c47dd0b56208f9f76,085eaf579b1dd0a8dd44bd2a55e9e0003832533c97d68427c9b6e4866b2992a5
R126,luna-clean-debate-v3,2026-08-14T15:37:48+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-clean-debate-v3,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v3-case30,complete_scored,True,scored_run,True,0,True,6,30,2,30,1,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v3-case30/scored/metrics.json,cd730d7fe369b2ccb36f45480a3b1b20e918202d3aa617dbc1a6e44ef4cd0177,5794f9c3833010cfa498931da760dfbecdd47fb3af3df30bc02284b93ced931e
R127,luna-clean-debate-v4-rerun1,2026-08-14T18:11:15+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-clean-debate-v4,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v4-rerun1-case30,complete_scored,True,scored_run,True,0,True,8,30,2,30,1,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v4-rerun1-case30/scored/metrics.json,7f9ab09ab78e93a36c8cf7284a52b133e3b84fe66a9d42af91b165b5d3b25060,479e6035ccf4d2769a472f32f76ef1280cff92d4b737a01ebd3445753f33fc80
R128,luna-gaia-v1,2026-08-15T00:04:03+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v1-case30,complete_scored,True,scored_run,True,0,True,10,30,9,30,5,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v1-case30/scored/metrics.json,e7ed24207a47a6040284b43ba1fc2e09140d798e86c9453f2f85ac61374b7b57,d5a5e55e3cb43be3f49b262c0a6ad772acae8debc488757c3cce855fb444eed6
R129,luna-gaia-v2.1,2026-08-15T00:50:33+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v2.1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v2p1-case30,complete_scored,True,scored_run,True,0,True,9,30,7,30,5,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v2p1-case30/scored/metrics.json,ef75201a5388f9538ca66ac25196512f2ef5f1ed5341e885f3daa967a4014b83,2028d027654f42452719c7f70e1a14cc4d82f4841e8717efcfd4c43792b033ba
R130,luna-gaia-v3,2026-08-15T01:15:40+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3-case30,complete_scored,True,scored_run,True,0,True,11,30,8,30,6,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3-case30/scored/metrics.json,81cf4341ebcf09f5bab508a29bce73b1a0370677b670f1e5958bc7a74423b13e,bebf6a3400de1511b0385370b6103fe7f9966976a58cf42df4ccfee7f171430d
R131,luna-gaia-v3.1,2026-08-15T01:37:47+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p1-case30,complete_scored,True,scored_run,True,0,True,14,30,11,30,9,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p1-case30/scored/metrics.json,6dbdd4fb68e845b26afb387bc9ee9e3877603e044c9b024e69f8e507694c519e,034cb571e23ad597073fedbabad5d82d02c4d12118bf3dda9916d77c7e7623f2
R132,luna-gaia-v3.2,2026-08-15T01:55:23+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.2,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p2-case30,complete_scored,True,scored_run,True,0,True,12,30,9,30,7,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p2-case30/scored/metrics.json,e0e3fdd9afb13a0c3187529296136e35ac0da128d42b24ea9fdea664d8b89bed,0beab3743c47c800e33c6a0d9afeeef05d99d3d27faaa61d466aa0a3e8572430
R133,luna-gaia-v3.3,2026-08-15T02:13:50+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.3,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p3-case30,complete_scored,True,scored_run,True,0,True,12,30,10,30,6,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p3-case30/scored/metrics.json,91f44d06b825f7ec1979d3d52282c9e7f4fc594c1d49f5f0dd10ca8a970f424a,4614cd63892ed87516cc8230b5d0410b7494fbd1db639f32a633308839c89af7
R134,luna-gaia-v3.4,2026-08-15T02:43:06+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.4,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p4-case30,complete_scored,True,scored_run,True,0,True,16,30,10,30,7,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p4-case30/scored/metrics.json,d44b7ffa21b9df4b7ee0ad25d52c28da4cfd8d4e608244dca974c3b12fbf60df,12a0e251f883af58c0c4c74c87c3907873ee3927d421d5fa3ec0d563a62ed374
R135,luna-gaia-v3.5.1,2026-08-15T03:37:32+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.5.1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p5p1-case30,complete_scored,True,scored_run,True,0,True,15,30,9,30,6,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p5p1-case30/scored/metrics.json,f1adaa7e2cbd7a2f31188ce45b64587a90b04697dc55aec1f8967847d91856af,03e794d5de2ed3de1c339c296ef4f6f02af9a4960843c9faea46db6ad6c863c4
R136,luna-gaia-v3.6,2026-08-15T04:02:49+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.6,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p6-case30,complete_scored,True,scored_run,True,0,True,15,30,13,30,10,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p6-case30/scored/metrics.json,88f3c11b2f07fc73d4b3ebeb39d09f8bc4a1185ed9f1016228b0881e187b1b79,3019921183b87679ab2aedaca75ea92e28363494d9a54c5e40dbd338739ca5d3
R137,luna-gaia-v3.7.1,2026-08-15T11:37:58+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.7.1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p7p1-case30,complete_scored,True,scored_run,True,0,True,13,30,11,30,8,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p7p1-case30/scored/metrics.json,880a130b57fc503b0ff9c79359d8283a9887862daec8bb2b1abc6a697b91e04f,c8def8cd75c2800d609ba349fc2bfe86236350f0a0ef6cc05058ab06fb301659
R138,luna-gaia-v3.8,2026-08-15T12:13:39+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.8,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p8-case30,complete_scored,True,scored_run,True,0,True,15,30,12,30,9,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p8-case30/scored/metrics.json,0052fe9e487cab1c29a68b94cb379235157b88068a8a9704a328be79a7887d8b,4c924c355f8363aa876c02b7b1089fffb95a867794a7db62b1604c70b5d4dec4
R139,luna-gaia-v3.9,2026-08-15T12:44:02+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.9,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p9-case30,complete_scored,True,scored_run,True,0,True,14,30,10,30,7,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p9-case30/scored/metrics.json,80441de2f292c5383213c23fd759a58f24d0ae90dd1b73aa7fedc16cb18b220f,c7bf1b2675db73d1a7707d028ab2476c1cda6d56265ab2bd56e9778bd80b6ce7
R140,luna-gaia-v3.10,2026-08-15T13:04:36+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-smoke-30,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.10,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,"{""gaia"": 30}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p10-case30,complete_scored,True,scored_run,True,0,True,14,30,10,30,8,30,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p10-case30/scored/metrics.json,030781cddf57ea63372bfd128859a813116869f52a5905c7f41ea30b3cfb161d,1fcac0fb34108f9d61dbd412e7c9159734793e7ee829c048fbc081d67ee2c1fe
R141,luna-gaia-v3.4,2026-08-15T14:30:26+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},GAIA-50,50,,4,2,,,,,agentdebug.codex-agent-judge.luna-gaia-v3.4,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4,"{""gaia"": 50}",output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p4-case50,complete_scored,True,scored_run,True,0,True,21,50,13,50,10,50,,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p4-case50/scored/metrics.json,1f140bc83f2497c96acf0af31a8de237a9b9d4d95cd9765eb02032b8bcb1ca6e,25720508610520555a1f73b64fa1d83f765137cb8b3552a15129d104d4d48047
R142,v2.4-global-census,2026-08-15T16:30:57+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-terra,medium,{},GAIA-50,50,,4,2,,,,,agentdebug.codex-agent-judge.v2.4,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4,"{""gaia"": 50}",output/agenterrorbench-codex-gpt-5.6-terra-gaia-paper-v1-agent-judge-v2p4-global-census-case50,complete_scored,True,scored_run,True,0,True,11,50,6,50,4,50,,output/agenterrorbench-codex-gpt-5.6-terra-gaia-paper-v1-agent-judge-v2p4-global-census-case50/scored/metrics.json,e286347c6b98c416471d66b237a4f2c47d406a12b4c0eefe98bbfe45cc7dcc77,1690bbf680fe5550bdc2c63cfc2c644e43ee7d100e617c452884d319c168d2c4
